,321321321312,Sol,TLClone Natr DOT L2,TLClone Natr ICP L,TLClone Natr XMR L2,Testt,aave,avax,bnb,inj
321321321312,1.0,0.1372291529875246,0.6278606965174129,0.20337738619676946,0.06941431670281996,0.16762268961121735,0.19507908611599298,0.08466819221967964,0.002254791431792559,0.5363288718929254
Sol,0.1372291529875246,1.0,0.14033898305084747,0.12408272181454302,0.0671602326811211,0.1265746850629874,0.13616557734204793,0.032191069574247146,0.011904761904761904,0.13141683778234087
TLClone Natr DOT L2,0.6278606965174129,0.14033898305084747,1.0,0.23369565217391305,0.07254464285714286,0.208955223880597,0.19376124775044992,0.07159904534606205,0.010843373493975903,0.7261640798226164
TLClone Natr ICP L,0.20337738619676946,0.12408272181454302,0.23369565217391305,1.0,0.038855909336211546,0.16895874263261296,0.12981859410430838,0.04161849710982659,0.013237063778580024,0.2235294117647059
TLClone Natr XMR L2,0.06941431670281996,0.0671602326811211,0.07254464285714286,0.038855909336211546,1.0,0.04437869822485207,0.06648326455754242,0.018992568125516102,0.0,0.09169550173010381
Testt,0.16762268961121735,0.1265746850629874,0.208955223880597,0.16895874263261296,0.04437869822485207,1.0,0.15906680805938495,0.03207547169811321,0.0058309037900874635,0.22075208913649025
aave,0.19507908611599298,0.13616557734204793,0.19376124775044992,0.12981859410430838,0.06648326455754242,0.15906680805938495,1.0,0.03745019920318725,0.006477732793522267,0.18417874396135267
avax,0.08466819221967964,0.032191069574247146,0.07159904534606205,0.04161849710982659,0.018992568125516102,0.03207547169811321,0.03745019920318725,1.0,0.0,0.06495098039215687
bnb,0.002254791431792559,0.011904761904761904,0.010843373493975903,0.013237063778580024,0.0,0.0058309037900874635,0.006477732793522267,0.0,1.0,0.011235955056179775
inj,0.5363288718929254,0.13141683778234087,0.7261640798226164,0.2235294117647059,0.09169550173010381,0.22075208913649025,0.18417874396135267,0.06495098039215687,0.011235955056179775,1.0
