,321321321312,Sol,TLClone Natr DOT L2,TLClone Natr ICP L,TLClone Natr XMR L2,Testt,aave,avax,bnb,inj
321321321312,1.0,0.1700057240984545,0.626984126984127,0.2136457615437629,0.06930157011369789,0.18623737373737373,0.1977894124490983,0.09659090909090909,0.0022471910112359553,0.5451092117758785
Sol,0.1700057240984545,1.0,0.1752212389380531,0.12154989384288747,0.06694176983035305,0.14704370179948587,0.1715257531584062,0.031323414252153486,0.010560519902518278,0.1627497062279671
TLClone Natr DOT L2,0.626984126984127,0.1752212389380531,1.0,0.22421203438395415,0.07250418293363078,0.22782258064516128,0.1982089552238806,0.07665094339622641,0.010830324909747292,0.7384105960264901
TLClone Natr ICP L,0.2136457615437629,0.12154989384288747,0.22421203438395415,1.0,0.0417940876656473,0.19143730886850152,0.1397964649169791,0.06707946336429309,0.011578947368421053,0.21316165951359084
TLClone Natr XMR L2,0.06930157011369789,0.06694176983035305,0.07250418293363078,0.0417940876656473,1.0,0.047988366456616575,0.0674567000911577,0.02044153720359771,0.0,0.09080525414049115
Testt,0.18623737373737373,0.14704370179948587,0.22782258064516128,0.19143730886850152,0.047988366456616575,1.0,0.1631279129984464,0.033183856502242155,0.008411214953271028,0.2390710382513661
aave,0.1977894124490983,0.1715257531584062,0.1982089552238806,0.1397964649169791,0.0674567000911577,0.1631279129984464,1.0,0.04552590266875981,0.006394884092725819,0.18902802623732856
avax,0.09659090909090909,0.031323414252153486,0.07665094339622641,0.06707946336429309,0.02044153720359771,0.033183856502242155,0.04552590266875981,1.0,0.0,0.06635071090047394
bnb,0.0022471910112359553,0.010560519902518278,0.010830324909747292,0.011578947368421053,0.0,0.008411214953271028,0.006394884092725819,0.0,1.0,0.011002444987775062
inj,0.5451092117758785,0.1627497062279671,0.7384105960264901,0.21316165951359084,0.09080525414049115,0.2390710382513661,0.18902802623732856,0.06635071090047394,0.011002444987775062,1.0
