,321321321312,Sol,TLClone Natr DOT L2,TLClone Natr ICP L,TLClone Natr XMR L2,Testt,aave,avax,bnb,inj
321321321312,1.0,0.34008282214271557,0.7057500369951768,0.3773571354890977,0.28084143709419335,0.3443470014837497,0.35489138944104515,0.2813181240171587,0.29681169617311276,0.6961004556224581
Sol,0.34008282214271557,1.0,0.34066671396682446,0.32074868323967237,0.3367864157695201,0.38142541471962127,0.3602933964746799,0.26928737801488306,0.30615868291572546,0.32573454459578843
TLClone Natr DOT L2,0.7057500369951768,0.34066671396682446,1.0,0.393053324258886,0.3010740393640917,0.3600476168130415,0.3466553798949944,0.30962076596170607,0.2852311844868798,0.7852021769087707
TLClone Natr ICP L,0.3773571354890977,0.32074868323967237,0.393053324258886,1.0,0.25436664110147184,0.358174859955743,0.2968183941654732,0.27387830806900443,0.2767511534675163,0.3881874432487003
TLClone Natr XMR L2,0.28084143709419335,0.3367864157695201,0.3010740393640917,0.25436664110147184,1.0,0.299257943673371,0.28218739207699095,0.25055299007860016,0.2888919780541003,0.29404952940945545
Testt,0.3443470014837497,0.38142541471962127,0.3600476168130415,0.358174859955743,0.299257943673371,1.0,0.34480932229083155,0.25760242673681333,0.2942163868685709,0.36694898866534675
aave,0.35489138944104515,0.3602933964746799,0.3466553798949944,0.2968183941654732,0.28218739207699095,0.34480932229083155,1.0,0.2605927699712862,0.2616438604824776,0.34526703057953084
avax,0.2813181240171587,0.26928737801488306,0.30962076596170607,0.27387830806900443,0.25055299007860016,0.25760242673681333,0.2605927699712862,1.0,0.25715758130374283,0.27025929254797154
bnb,0.29681169617311276,0.30615868291572546,0.2852311844868798,0.2767511534675163,0.2888919780541003,0.2942163868685709,0.2616438604824776,0.25715758130374283,1.0,0.2871556016997216
inj,0.6961004556224581,0.32573454459578843,0.7852021769087707,0.3881874432487003,0.29404952940945545,0.36694898866534675,0.34526703057953084,0.27025929254797154,0.2871556016997216,1.0
