robot_name,symbol_count,symbols,total_pnl,net_pnl_after_fees,number_of_trades,winrate,profit_factor,average_trade_pnl,max_drawdown,worst_day_pnl,worst_week_pnl,average_holding_time_hours,max_holding_time_hours,max_averaging_level,number_of_averaging_events,max_simultaneous_open_positions,max_margin_used,max_trade_notional
321321321312,1,DOTUSDT.P,629263.5566803761,629263.5566803761,263,0.908745247148289,2.484416970966022,2392.6370976440153,-210357.14824321098,-210357.148243211,-180988.623120131,6.686311786944444,58.5,14.0,261,12,,
Sol,1,SOLUSDT.P,106311.65357719999,106311.65357719999,581,0.8864027538726333,1.6397641400636012,182.9804708729776,-74999.54248820001,-74999.5424882,-58034.4461466,3.2852839930555557,36.25,21.0,493,15,,91260.0
TLClone Natr DOT L2,1,DOTUSDT.P,268635.72414048,268635.72414048,309,0.9029126213592233,1.8263522415022981,869.371275535534,-207437.79717429003,-207437.79717429,-207437.79717429,5.194983818611111,51.25,20.0,308,13,,
TLClone Natr ICP L,1,ICPUSDT.P,1144645.18342863,1144645.18342863,322,0.9161490683229814,3.485009930525839,3554.7987063000933,-190957.2539419802,-190957.25394198002,-190957.25394198002,5.915372670555556,75.75,12.0,313,18,,
TLClone Natr XMR L2,1,XMRUSDT.P,1183866.0699999998,1183866.0699999998,351,0.9430199430199431,5.910358482204056,3372.8378062678057,-88263.8999999999,-88263.9,-88263.9,4.5334757833333335,109.75,32.0,351,8,,1061447.0
Testt,1,INJUSDT.P,824033.14750213,824033.14750213,380,0.9289473684210526,3.1109801969690056,2168.5082829003422,-137375.86681596003,-137375.86681596,-137375.86681596,4.579605263055556,57.5,17.0,361,9,,
aave,1,AAVEUSDT.P,882175.3406684,882175.3406684,391,0.9539641943734015,6.161994762407279,2256.202917310486,-58366.04838360002,-58366.0483836,-39682.1683284,5.620204603333334,79.0,18.0,385,10,,484561.0
avax,1,AVAXUSDT.P,238032.78334154998,238032.78334154998,97,0.9896907216494846,61.52716938910654,2453.946220015979,-3932.66008875001,0.0,0.0,1.1649484533333334,27.25,16.0,95,9,,187950.0
bnb,1,BNBUSDT.P,16710.038605600002,16710.038605600002,14,0.8571428571428571,13.482795380011869,1193.5741861142858,-1338.6455595000007,-1338.6455595,-655.0110919,7.8392857141666665,28.25,11.0,14,6,,
inj,1,DOTUSDT.P,1310936.23871358,1310936.23871358,331,0.9577039274924471,12.192030922777734,3960.532443243444,-56785.45292463992,-18343.819815376002,-3523.7064165330003,3.1336858005555555,45.75,18.0,326,16,,
