rank,time,unrealized_pct_of_balance_before,portfolio_unrealized_PL,balance_before,portfolio_total_PL
1,2024-11-24 12:45:00,-33.22507598982398,-39004.46662027,117394.66489773,17394.66489773
2,2024-11-26 11:45:00,-32.86868757064625,-63160.22333623,192159.24943908,92159.24943907998
3,2024-11-13 07:00:00,-18.13298999282777,-18307.619702,100963.049719,963.049719
4,2025-05-13 04:00:00,-18.01599359679121,-199595.246127244,1107878.092068114,1007878.092068114
5,2025-04-07 08:15:00,-14.161707869629158,-101889.3,719470.4264342949,619470.4264342949
6,2026-03-19 17:15:00,-12.0929292836652,-1230390.563487432,10174462.56920902,10074462.56920902
7,2025-05-23 23:45:00,-11.255436897929446,-163782.90194891,1455144.7752244922,1355144.7752244922
8,2026-02-28 10:00:00,-9.954719554975869,-946246.248421315,9505503.828566758,9405503.828566758
9,2025-07-24 06:45:00,-9.5323027529608,-265988.31171085,2790388.8347255043,2690388.8347255043
10,2024-12-09 09:30:00,-9.450270868022304,-38066.0370538,402803.66124327,302803.66124327003
