rank,time,unrealized_pct_of_balance_before,portfolio_unrealized_PL,balance_before,portfolio_total_PL
1,2024-11-24 12:45:00,-33.22507598982398,-39004.46662027,117394.66489773,17394.66489773
2,2024-11-26 11:45:00,-32.86868757064625,-63160.22333623,192159.24943908,92159.24943907998
3,2024-11-26 11:30:00,-32.68856457317912,-62814.10033623,192159.24943908,92159.24943907998
4,2024-11-26 12:45:00,-25.06582820073936,-48166.30733623,192159.24943908,92159.24943907998
5,2024-11-26 11:00:00,-24.812082934027863,-47678.71233623,192159.24943908,92159.24943907998
6,2024-11-26 13:00:00,-24.30217825712048,-46698.88333623001,192159.24943908,92159.24943907998
7,2024-11-24 16:00:00,-24.25262612682928,-33037.34973227,136221.74175902002,36221.741759020006
8,2024-11-26 18:30:00,-24.155745626372216,-46765.65641923,193600.55012408,93600.55012407998
9,2024-11-26 18:45:00,-24.04976658867397,-46560.48041922999,193600.55012408,93600.55012407998
10,2024-11-26 12:00:00,-23.33544831545877,-44841.22233623,192159.24943908,92159.24943907998
