robot,min_unrealized,min_time,max_unrealized,bars_negative,bars_total
321321321312,-764095.12290146,2026-02-28 10:00:00,124997.77789854,2578,54239
aave,-568674.4905688,2026-05-12 15:30:00,69628.9009488,3511,54239
inj,-330695.27546336,2026-03-19 17:15:00,79634.79792663,2121,54239
TLClone Natr ICP L,-311475.14856402,2026-04-19 23:45:00,86062.55372548,3026,54239
Testt,-270638.04073155,2026-05-14 03:00:00,69257.86331538,3110,54239
TLClone Natr DOT L2,-231761.092220404,2026-03-19 17:15:00,78240.433938342,2426,54239
TLClone Natr XMR L2,-197738.17,2026-04-08 20:30:00,67433.78,3177,54239
bnb,-179722.418131,2025-10-09 17:00:00,21313.581869,3537,54239
avax,-145062.12281884,2026-05-12 15:30:00,11579.40520782,188,54239
Sol,-72028.3037452,2026-02-27 22:30:00,6384.6367743,4529,54239
