robot,worst_unrealized_pct,time,unrealized,balance_before,total_PL
321321321312,-78.54974471568667,2026-02-28 10:00:00,-764095.12290146,972753.158736705,872753.158736705
TLClone Natr XMR L2,-66.07404753888207,2025-04-07 08:15:00,-101889.3,154204.72,54204.72
avax,-41.37350911868087,2026-05-12 15:30:00,-145062.12281884,350615.95187086,250615.95187086
bnb,-39.45968521787077,2025-07-24 06:45:00,-140372.164387,355735.6416098,255735.6416098
TLClone Natr ICP L,-38.06815545905144,2025-05-13 03:30:00,-70120.43355865,184197.08733741002,84197.08733741
aave,-34.11154464369997,2026-05-12 15:30:00,-568674.4905688,1667102.7258035,1567102.7258035
Testt,-32.71651163285953,2025-07-29 03:00:00,-193383.14393948,591087.2959489101,491087.29594891
TLClone Natr DOT L2,-30.574000892643465,2026-03-19 17:15:00,-231761.092220404,758033.248688002,658033.248688002
Sol,-21.79408498315755,2025-07-23 21:30:00,-51628.9141254,236894.1580493,136894.1580493
inj,-18.559874006652503,2026-03-19 17:15:00,-330695.27546336,1781775.433091988,1681775.433091988
